Timestamp,Heart Rate,RR Interval in seconds
2023-11-04 19:16:09+00:00,89,0.703
2023-11-04 19:16:10+00:00,88,0.705
2023-11-04 19:16:11+00:00,88,0.683
2023-11-04 19:16:11+00:00,88,0.661
2023-11-04 19:16:12+00:00,88,0.659
2023-11-04 19:16:13+00:00,89,0.649
2023-11-04 19:16:13+00:00,89,0.646
2023-11-04 19:16:14+00:00,89,0.639
2023-11-04 19:16:15+00:00,91,0.633
2023-11-04 19:16:15+00:00,91,0.625
2023-11-04 19:16:16+00:00,92,0.625
2023-11-04 19:16:16+00:00,92,0.621
2023-11-04 19:16:17+00:00,93,0.615
2023-11-04 19:16:18+00:00,94,0.616
2023-11-04 19:16:18+00:00,94,0.612
2023-11-04 19:16:19+00:00,95,0.615
2023-11-04 19:16:19+00:00,95,0.614
2023-11-04 19:16:20+00:00,96,0.624
2023-11-04 19:16:21+00:00,96,0.63
2023-11-04 19:16:21+00:00,96,0.637
2023-11-04 19:16:22+00:00,96,0.646
2023-11-04 19:16:23+00:00,95,0.66
2023-11-04 19:16:23+00:00,95,0.657
2023-11-04 19:16:24+00:00,94,0.66
2023-11-04 19:16:25+00:00,93,0.67
2023-11-04 19:16:25+00:00,93,0.671
2023-11-04 19:16:26+00:00,92,0.679
2023-11-04 19:16:27+00:00,92,0.658
2023-11-04 19:16:27+00:00,92,0.653
2023-11-04 19:16:28+00:00,92,0.655
2023-11-04 19:16:29+00:00,91,0.668
2023-11-04 19:16:29+00:00,91,0.683
2023-11-04 19:16:30+00:00,91,0.687
2023-11-04 19:16:31+00:00,90,0.695
2023-11-04 19:16:32+00:00,89,0.694
2023-11-04 19:16:32+00:00,89,0.678
2023-11-04 19:16:33+00:00,89,0.691
2023-11-04 19:16:34+00:00,89,0.688
2023-11-04 19:16:34+00:00,89,0.688
2023-11-04 19:16:35+00:00,88,0.689
2023-11-04 19:16:36+00:00,88,0.691
2023-11-04 19:16:36+00:00,88,0.696
2023-11-04 19:16:37+00:00,88,0.699
2023-11-04 19:16:38+00:00,87,0.686
2023-11-04 19:16:38+00:00,87,0.68
2023-11-04 19:16:39+00:00,88,0.688
2023-11-04 19:16:40+00:00,88,0.675
2023-11-04 19:16:40+00:00,88,0.679
2023-11-04 19:16:41+00:00,88,0.665
2023-11-04 19:16:42+00:00,88,0.671
2023-11-04 19:16:42+00:00,88,0.674
2023-11-04 19:16:43+00:00,88,0.681
2023-11-04 19:16:44+00:00,88,0.683
2023-11-04 19:16:44+00:00,88,0.686
2023-11-04 19:16:45+00:00,88,0.684
2023-11-04 19:16:46+00:00,88,0.679
2023-11-04 19:16:47+00:00,88,0.683
2023-11-04 19:16:47+00:00,88,0.686
2023-11-04 19:16:48+00:00,88,0.694
2023-11-04 19:16:49+00:00,88,0.691
2023-11-04 19:16:49+00:00,88,0.692
2023-11-04 19:16:50+00:00,88,0.707
2023-11-04 19:16:51+00:00,87,0.713
2023-11-04 19:16:51+00:00,87,0.705
2023-11-04 19:16:52+00:00,87,0.688
2023-11-04 19:16:53+00:00,87,0.682
2023-11-04 19:16:53+00:00,87,0.683
2023-11-04 19:16:54+00:00,87,0.683
2023-11-04 19:16:55+00:00,87,0.681
2023-11-04 19:16:55+00:00,87,0.677
2023-11-04 19:16:56+00:00,87,0.676
2023-11-04 19:16:57+00:00,88,0.665
2023-11-04 19:16:57+00:00,88,0.651
2023-11-04 19:16:58+00:00,88,0.643
2023-11-04 19:16:59+00:00,90,0.637
2023-11-04 19:16:59+00:00,90,0.631
2023-11-04 19:17:00+00:00,90,0.619
2023-11-04 19:17:01+00:00,92,0.618
2023-11-04 19:17:01+00:00,92,0.615
2023-11-04 19:17:02+00:00,94,0.615
2023-11-04 19:17:02+00:00,94,0.614
2023-11-04 19:17:03+00:00,94,0.616
2023-11-04 19:17:04+00:00,95,0.622
2023-11-04 19:17:04+00:00,95,0.617
2023-11-04 19:17:05+00:00,96,0.622
2023-11-04 19:17:06+00:00,96,0.626
2023-11-04 19:17:06+00:00,96,0.628
2023-11-04 19:17:07+00:00,96,0.623
2023-11-04 19:17:07+00:00,96,0.624
2023-11-04 19:17:08+00:00,96,0.621
2023-11-04 19:17:09+00:00,96,0.627
2023-11-04 19:17:09+00:00,96,0.625
2023-11-04 19:17:10+00:00,96,0.629
2023-11-04 19:17:10+00:00,96,0.627
2023-11-04 19:17:11+00:00,96,0.617
2023-11-04 19:17:12+00:00,96,0.622
2023-11-04 19:17:12+00:00,96,0.628
2023-11-04 19:17:22+00:00,98,0.611
2023-11-04 19:17:22+00:00,98,0.606
2023-11-04 19:17:23+00:00,98,0.62
2023-11-04 19:17:24+00:00,98,0.639
2023-11-04 19:17:24+00:00,98,0.666
2023-11-04 19:17:25+00:00,96,0.678
2023-11-04 19:17:26+00:00,94,0.694
2023-11-04 19:17:26+00:00,94,0.706
2023-11-04 19:17:27+00:00,92,0.711
2023-11-04 19:17:28+00:00,91,0.728
2023-11-04 19:17:29+00:00,89,0.713
2023-11-04 19:17:29+00:00,89,0.704
2023-11-04 19:17:30+00:00,88,0.705
2023-11-04 19:17:31+00:00,88,0.699
2023-11-04 19:17:31+00:00,88,0.696
2023-11-04 19:17:32+00:00,87,0.697
2023-11-04 19:17:33+00:00,87,0.696
2023-11-04 19:17:33+00:00,87,0.693
2023-11-04 19:17:34+00:00,87,0.69
2023-11-04 19:17:35+00:00,87,0.684
2023-11-04 19:17:36+00:00,87,0.693
2023-11-04 19:17:36+00:00,87,0.704
2023-11-04 19:17:37+00:00,87,0.703
2023-11-04 19:17:38+00:00,87,0.695
2023-11-04 19:17:38+00:00,87,0.688
2023-11-04 19:17:39+00:00,87,0.667
2023-11-04 19:17:40+00:00,87,0.653
2023-11-04 19:17:40+00:00,87,0.652
2023-11-04 19:17:41+00:00,88,0.652
2023-11-04 19:17:42+00:00,89,0.653
2023-11-04 19:17:42+00:00,89,0.653
2023-11-04 19:17:43+00:00,90,0.651
2023-11-04 19:17:43+00:00,90,0.64
2023-11-04 19:17:44+00:00,90,0.634
2023-11-04 19:17:45+00:00,92,0.628
2023-11-04 19:17:45+00:00,92,0.645
2023-11-04 19:17:46+00:00,92,0.647
2023-11-04 19:17:47+00:00,92,0.664
2023-11-04 19:17:47+00:00,92,0.681
2023-11-04 19:17:48+00:00,92,0.685
2023-11-04 19:17:49+00:00,90,0.686
2023-11-04 19:17:49+00:00,90,0.686
2023-11-04 19:17:50+00:00,90,0.687
2023-11-04 19:17:51+00:00,90,0.69
2023-11-04 19:17:52+00:00,89,0.697
2023-11-04 19:17:52+00:00,89,0.689
2023-11-04 19:17:53+00:00,89,0.68
2023-11-04 19:17:54+00:00,88,0.675
2023-11-04 19:17:54+00:00,88,0.673
2023-11-04 19:17:55+00:00,89,0.667
2023-11-04 19:17:56+00:00,89,0.67
2023-11-04 19:17:56+00:00,89,0.674
2023-11-04 19:17:57+00:00,89,0.683
2023-11-04 19:17:58+00:00,89,0.691
2023-11-04 19:17:58+00:00,89,0.697
2023-11-04 19:17:59+00:00,88,0.703
2023-11-04 19:18:00+00:00,88,0.703
2023-11-04 19:18:01+00:00,87,0.7
2023-11-04 19:18:01+00:00,87,0.718
2023-11-04 19:18:02+00:00,87,0.717
2023-11-04 19:18:03+00:00,86,0.699
2023-11-04 19:18:03+00:00,86,0.702
2023-11-04 19:18:04+00:00,86,0.702
2023-11-04 19:18:05+00:00,86,0.71
2023-11-04 19:18:05+00:00,86,0.714
2023-11-04 19:18:06+00:00,86,0.715
2023-11-04 19:18:07+00:00,85,0.714
2023-11-04 19:18:08+00:00,85,0.705
2023-11-04 19:18:08+00:00,85,0.699
2023-11-04 19:18:09+00:00,85,0.692
2023-11-04 19:18:10+00:00,86,0.677
2023-11-04 19:18:10+00:00,86,0.671
2023-11-04 19:18:11+00:00,86,0.669
2023-11-04 19:18:12+00:00,87,0.664
2023-11-04 19:18:12+00:00,87,0.66
2023-11-04 19:18:13+00:00,88,0.649
2023-11-04 19:18:13+00:00,88,0.655
2023-11-04 19:18:14+00:00,89,0.642
2023-11-04 19:18:15+00:00,90,0.635
2023-11-04 19:18:15+00:00,90,0.632
2023-11-04 19:18:16+00:00,91,0.631
2023-11-04 19:18:17+00:00,92,0.629
2023-11-04 19:18:17+00:00,92,0.628
2023-11-04 19:18:18+00:00,92,0.631
2023-11-04 19:18:19+00:00,93,0.633
2023-11-04 19:18:19+00:00,93,0.638
2023-11-04 19:18:20+00:00,94,0.635
2023-11-04 19:18:20+00:00,94,0.634
2023-11-04 19:18:21+00:00,94,0.633
2023-11-04 19:18:22+00:00,94,0.631
2023-11-04 19:18:22+00:00,94,0.624
2023-11-04 19:18:23+00:00,94,0.622
2023-11-04 19:18:24+00:00,95,0.621
2023-11-04 19:18:24+00:00,95,0.624
2023-11-04 19:18:25+00:00,95,0.626
2023-11-04 19:18:26+00:00,95,0.636
2023-11-04 19:18:26+00:00,95,0.647
2023-11-04 19:18:27+00:00,95,0.658
2023-11-04 19:18:28+00:00,94,0.675
2023-11-04 19:18:28+00:00,94,0.685
2023-11-04 19:18:29+00:00,93,0.691
2023-11-04 19:18:30+00:00,91,0.685
2023-11-04 19:18:30+00:00,91,0.67
2023-11-04 19:18:31+00:00,91,0.654
2023-11-04 19:18:31+00:00,91,0.639
2023-11-04 19:18:32+00:00,91,0.627
2023-11-04 19:18:33+00:00,92,0.622
2023-11-04 19:18:33+00:00,92,0.613
2023-11-04 19:18:34+00:00,93,0.616
2023-11-04 19:18:35+00:00,94,0.613
2023-11-04 19:18:35+00:00,94,0.615
2023-11-04 19:18:36+00:00,95,0.62
2023-11-04 19:18:36+00:00,95,0.627
2023-11-04 19:18:37+00:00,96,0.637
2023-11-04 19:18:38+00:00,95,0.638
2023-11-04 19:18:38+00:00,95,0.642
2023-11-04 19:18:39+00:00,95,0.631
2023-11-04 19:18:40+00:00,95,0.628
2023-11-04 19:18:40+00:00,95,0.633
2023-11-04 19:18:41+00:00,95,0.624
2023-11-04 19:18:41+00:00,95,0.618
2023-11-04 19:18:42+00:00,95,0.616
2023-11-04 19:18:43+00:00,96,0.605
2023-11-04 19:18:43+00:00,96,0.61
2023-11-04 19:18:44+00:00,97,0.61
2023-11-04 19:18:44+00:00,97,0.607
2023-11-04 19:18:45+00:00,97,0.613
2023-11-04 19:18:46+00:00,97,0.616
2023-11-04 19:18:46+00:00,97,0.613
2023-11-04 19:18:48+00:00,98,0.614
2023-11-04 19:18:48+00:00,98,0.626
2023-11-04 19:18:49+00:00,97,1.25
2023-11-04 19:18:49+00:00,97,0.615
2023-11-04 19:18:50+00:00,97,0.615
2023-11-04 19:18:51+00:00,97,0.603
2023-11-04 19:18:51+00:00,97,0.599
2023-11-04 19:18:52+00:00,98,0.598
2023-11-04 19:18:52+00:00,98,0.6
2023-11-04 19:18:53+00:00,99,0.594
2023-11-04 19:18:54+00:00,99,0.593
2023-11-04 19:18:54+00:00,99,0.592
2023-11-04 19:18:55+00:00,100,0.597
2023-11-04 19:18:55+00:00,100,0.604
2023-11-04 19:18:56+00:00,100,0.61
2023-11-04 19:18:57+00:00,100,0.606
2023-11-04 19:18:57+00:00,100,0.608
2023-11-04 19:18:58+00:00,99,0.611
2023-11-04 19:18:58+00:00,99,0.613
2023-11-04 19:18:59+00:00,99,0.606
2023-11-04 19:19:00+00:00,99,0.602
2023-11-04 19:19:00+00:00,99,0.598
2023-11-04 19:19:01+00:00,99,0.596
2023-11-04 19:19:01+00:00,99,0.598
2023-11-04 19:19:02+00:00,100,0.595
2023-11-04 19:19:03+00:00,100,0.596
2023-11-04 19:19:03+00:00,100,0.601
2023-11-04 19:19:04+00:00,100,0.603
2023-11-04 19:19:04+00:00,100,0.6
2023-11-04 19:19:05+00:00,100,0.607
2023-11-04 19:19:06+00:00,99,0.617
2023-11-04 19:19:06+00:00,99,0.615
2023-11-04 19:19:07+00:00,99,0.62
2023-11-04 19:19:08+00:00,98,0.623
2023-11-04 19:19:08+00:00,98,0.619
2023-11-04 19:19:09+00:00,98,0.609
2023-11-04 19:19:09+00:00,98,0.609
2023-11-04 19:19:10+00:00,98,0.608
2023-11-04 19:19:11+00:00,98,0.61
2023-11-04 19:19:11+00:00,98,0.614
2023-11-04 19:19:12+00:00,98,0.61
2023-11-04 19:19:12+00:00,98,0.608
